,Location,Total Incidents,Race,Religion,Sexual Orientation,Ethnicity,Disability,Gender,Gender Identity,Multiple Bias Incidents
5,Total,5479,2568,1014,1017,648,84,33,98,17
6,Abandoned/condemned structure,3,2,1,0,0,0,0,0,0
7,Air/bus/train terminal,68,39,5,13,8,2,0,1,0
8,Amusement Park,2,2,0,0,0,0,0,0,0
9,Arena/stadium/fairgrounds/coliseum,2,1,0,1,0,0,0,0,0
10,Auto dealership new/used,1,1,0,0,0,0,0,0,0
11,Bank/savings and loan,21,11,1,3,2,1,0,3,0
12,Bar/nightclub,90,48,5,23,13,0,1,0,0
13,Camp/campground,1,1,0,0,0,0,0,0,0
14,Church/synagogue/temple/mosque,195,21,158,9,6,1,0,0,0
15,Commercial office building,70,28,17,12,12,1,0,0,0
16,Community center,6,1,1,3,0,0,0,1,0
17,Construction site,10,4,1,1,4,0,0,0,0
18,Convenience store,73,35,5,11,21,0,0,1,0
19,Daycare facility,4,1,1,0,2,0,0,0,0
20,Department/discount store,58,36,2,8,6,1,2,3,0
21,Dock/Wharf/Freight/Modal Terminal,3,2,0,0,1,0,0,0,0
22,Drug store/Doctor's office/hospital,70,41,8,5,11,4,1,0,0
23,Farm facility,1,1,0,0,0,0,0,0,0
24,Field/woods,36,20,6,5,5,0,0,0,0
25,Government/public building,96,57,15,12,9,2,0,1,0
26,Grocery/supermarket,52,24,9,7,9,1,0,2,0
27,Highway/road/alley/street/sidewalk,974,493,96,231,107,11,6,26,4
28,Hotel/motel/etc.,35,19,1,7,6,0,1,1,0
29,Industrial site,6,6,0,0,0,0,0,0,0
30,Jail/prison/penitentiary/corrections facility,53,29,1,13,9,0,0,1,0
31,Lake/waterway/beach,10,4,1,3,2,0,0,0,0
32,Liquor store,8,4,2,1,1,0,0,0,0
33,Park/playground,70,34,8,17,10,0,0,1,0
34,Parking/drop lot/garage,343,186,37,59,49,3,2,6,1
35,Rental storage facility,3,3,0,0,0,0,0,0,0
36,Residence/home,1732,828,249,318,239,36,14,41,7
37,Rest area,6,1,1,2,2,0,0,0,0
38,Restaurant,114,58,10,25,16,2,2,0,1
39,School/college,165,78,46,27,11,1,2,0,0
40,School—college/university,123,73,23,21,0,2,2,2,0
41,School—elementary/secondary,184,94,27,33,20,6,0,2,2
42,Service/gas station,62,35,5,9,10,1,0,1,1
43,Shelter—mission/homeless,5,4,0,1,0,0,0,0,0
44,Shopping mall,15,5,6,2,1,1,0,0,0
45,"Specialty store (TV, fur, etc.)",48,25,8,7,6,0,0,2,0
46,Other/unknown,654,210,258,126,48,8,0,3,1
47,Multiple locations,7,3,0,2,2,0,0,0,0
