,Location,Total Incidents,Race/Ethnicity/Ancestry,Religion,Sexual Orientation,Disability,Gender,Gender Identity,Multiple Bias Incidents
5,Total,7120,4047,1419,1196,159,47,168,84
6,Abandoned/condemned structure,4,3,1,0,0,0,0,0
7,Air/bus/train terminal,113,67,2,34,1,1,6,2
8,Amusement park,3,2,0,0,0,0,1,0
9,Arena/stadium/fairgrounds/coliseum,7,2,1,3,0,0,1,0
10,ATM separate from bank,2,1,0,0,0,0,1,0
11,Auto dealership new/used,8,5,1,2,0,0,0,0
12,Bank/savings and loan,28,14,8,2,3,0,1,0
13,Bar/nightclub,119,53,3,59,1,0,2,1
14,Camp/campground,4,4,0,0,0,0,0,0
15,Church/synagogue/temple/mosque,263,29,219,12,0,0,0,3
16,Commercial office building,145,97,22,16,1,3,4,2
17,Community center,20,8,5,4,1,0,1,1
18,Construction site,20,13,4,2,0,0,0,1
19,Convenience store,141,100,13,19,4,0,5,0
20,Cyberspace,23,15,4,2,1,0,0,1
21,Daycare facility,2,2,0,0,0,0,0,0
22,Department/discount store,111,63,20,11,4,2,6,5
23,Dock/wharf/freight/modal terminal,1,1,0,0,0,0,0,0
24,Drug store/doctor's office/hospital,93,63,12,7,7,0,2,2
25,Farm facility,5,3,1,1,0,0,0,0
26,Field/woods,47,31,5,7,2,0,1,1
27,Gambling facility/casino/race track,3,3,0,0,0,0,0,0
28,Government/public building,163,116,22,12,4,2,2,5
29,Grocery/supermarket,98,75,5,10,3,0,5,0
30,Highway/road/alley/street/sidewalk,1328,846,143,259,23,4,42,11
31,Hotel/motel/etc.,67,41,6,17,2,0,1,0
32,Industrial site,7,5,0,0,1,1,0,0
33,Jail/prison/penitentiary/corrections facility,69,45,3,19,1,0,1,0
34,Lake/waterway/beach,8,4,1,2,0,0,0,1
35,Liquor store,13,6,0,4,0,1,2,0
36,Military installation,0,0,0,0,0,0,0,0
37,Park/playground,106,68,15,20,0,0,3,0
38,Parking/drop lot/garage,380,245,57,59,8,3,7,1
39,Rental storage facility,12,8,3,0,1,0,0,0
40,Residence/home,1832,1044,303,352,66,18,33,16
41,Rest area,8,2,6,0,0,0,0,0
42,Restaurant,189,136,15,30,0,1,6,1
43,School/college,69,35,17,11,1,0,4,1
44,School—college/university,314,155,88,53,5,5,3,5
45,School—elementary/secondary,273,153,59,33,6,0,5,17
46,Service/gas station,91,63,12,10,2,0,4,0
47,Shelter—mission/homeless,18,9,4,2,0,0,3,0
48,Shopping mall,21,14,1,5,0,0,0,1
49,"Specialty store (TV, fur, etc.)",79,56,10,7,1,1,2,2
50,Tribal Lands,1,1,0,0,0,0,0,0
51,Other/unknown,800,334,327,108,9,5,13,4
52,Multiple locations,12,7,1,2,1,0,1,0
