,Bias Motivation,Total Offenses,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Group of Multiple races,Unknown Race,Hispanic or Latino,Not Hispanic or Latino,Group of multiple ethnicities,Unknown Ethnicity,Unknown Offender
0,Total,6418,2694,1006,53,42,2,189,758,48,477,9,400,1674
1,Single-Bias Incidents,6385,2675,1004,53,42,2,189,756,48,473,9,398,1664
2,Race:,3081,1487,472,24,18,0,83,240,8,230,2,213,757
3,Anti-White,701,145,337,10,4,0,18,45,1,54,0,46,142
4,Anti-Black or African American,1955,1165,57,10,9,0,52,166,6,148,1,145,496
5,Anti-American Indian or Alaska Native,142,56,23,3,0,0,5,9,0,6,1,6,46
6,Anti-Asian,168,75,37,1,5,0,2,16,1,9,0,12,32
7,Anti-Native Hawaiian or Other Pacific Islander,4,4,0,0,0,0,0,0,0,1,0,0,0
8,"Anti-Multiple Races, Group",111,42,18,0,0,0,6,4,0,12,0,4,41
9,Religion:,1092,242,47,7,10,1,19,302,6,42,2,33,464
10,Anti-Jewish,635,87,20,0,4,1,10,231,0,11,0,5,282
11,Anti-Catholic,67,10,3,0,0,0,0,18,0,2,0,1,36
12,Anti-Protestant,28,8,3,0,0,0,0,2,0,4,0,0,15
13,Anti-Islamic (Muslim),178,82,9,6,1,0,7,23,1,19,2,21,50
14,Anti-Other Religion,120,41,5,1,4,0,1,16,2,3,0,2,52
15,"Anti-Multiple Religions, Group",51,13,5,0,1,0,1,6,0,2,0,4,25
16,Anti-Atheism/Agnosticism/etc.,13,1,2,0,0,0,0,6,3,1,0,0,4
17,Sexual Orientation:,1178,447,301,12,12,0,59,111,19,72,3,75,236
18,Anti-Gay (Male),683,252,194,5,10,0,46,72,18,47,3,48,104
19,Anti-Lesbian,168,66,43,4,1,0,6,9,0,13,0,11,39
20,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",278,110,57,1,1,0,5,28,1,11,0,14,76
21,Anti-Heterosexual,18,6,1,1,0,0,0,1,0,0,0,0,9
22,Anti-Bisexual,31,13,6,1,0,0,2,1,0,1,0,2,8
23,Ethnicity:,790,399,123,10,1,1,22,87,8,91,1,54,147
24,Anti-Hispanic or Latino,376,204,47,7,0,1,11,36,5,36,1,26,70
25,Anti-Not Hispanic or Latino2,414,195,76,3,1,0,11,51,3,55,0,28,77
26,Disability:,95,41,19,0,0,0,2,8,1,11,0,10,25
27,Anti-Physical,26,11,7,0,0,0,1,5,0,5,0,3,2
28,Anti-Mental,69,30,12,0,0,0,1,3,1,6,0,7,23
29,Gender:,40,22,6,0,1,0,0,2,1,9,0,0,9
30,Anti-Male,12,8,2,0,0,0,0,1,0,3,0,0,1
31,Anti-Female,28,14,4,0,1,0,0,1,1,6,0,0,8
32,Gender Identity:,109,37,36,0,0,0,4,6,5,18,1,13,26
33,Anti-Transgender,69,20,29,0,0,0,3,6,4,14,0,9,11
34,Anti-Gender Non-Conforming,40,17,7,0,0,0,1,0,1,4,1,4,15
35,Multiple-Bias Incident,33,19,2,0,0,0,0,2,0,4,0,2,10
