,Location,Burrito,Neighborhood,Address,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Cheese,Fries
30,Rigoberto's Taco Shop,Carne asada,Miramar,7094 Miramar Rd,4.0,4.4,,6.6,3.5,4.0,2.0,4.0,3.5,4.5,4.0,3.5,4.0,1.0,4.0,,
31,Rigoberto's Taco Shop,Campeon,,,,,,7.65,3.5,3.0,1.5,3.0,3.0,2.5,3.0,3.5,2.5,4.0,3.0,x,x
58,Rigoberto's Taco Shop,California ,,,,,,6.6,3.0,3.0,4.5,4.0,4.5,4.0,4.5,4.5,5.0,4.5,4.0,x,x
59,Rigoberto's Taco Shop,Adobada,,,,,,6.6,3.0,4.0,5.0,5.0,5.0,5.0,4.0,,4.5,5.0,4.0,,
60,Rigoberto's Taco Shop,California,,,,,,6.6,3.0,3.0,5.0,3.5,3.0,4.5,2.5,3.0,4.0,4.0,4.0,x,x
61,Rigoberto's Taco Shop,Surf & Turf,,,,,,7.45,3.5,3.0,5.0,3.5,2.5,3.0,2.5,3.75,3.0,4.0,3.0,x,
66,California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,x,6.25,4.0,4.5,4.5,2.5,3.5,3.5,3.5,3.0,4.0,5.0,4.0,x,x
67,California Burritos,California Everything,,,,,,6.25,3.5,4.0,4.0,4.0,2.5,3.0,3.5,4.0,4.0,5.0,4.0,x,x
68,California Burritos,California Everything,,,,,,6.25,4.0,4.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,x,x
69,California Burritos,Chile relleno and carnitas,,,,,,6.5,5.0,4.5,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,x,
70,California Burritos,California (only cheese),,,,,,6.25,2.0,5.0,5.0,5.0,4.0,4.0,2.0,,5.0,5.0,5.0,x,x
93,Rigoberto's Taco Shop,El Rusio,,,,,,6.65,4.0,3.0,4.5,2.5,2.0,3.5,5.0,1.5,2.0,1.5,2.0,x,x
94,Rigoberto's Taco Shop,Carne asada,,,,,,6.6,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.5,4.5,4.0,,
95,Rigoberto's Taco Shop,Carne asada,,,,,,6.6,4.5,4.0,3.0,3.0,3.0,3.5,3.0,,3.5,4.5,3.0,,
96,Rigoberto's Taco Shop,Carnitas,,,,,,7.5,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,
97,Rigoberto's Taco Shop,Bacon breakfast,,,,,,6.25,3.5,4.0,3.5,4.0,4.0,5.0,5.0,,5.0,4.5,4.0,x,x
98,Rigoberto's Taco Shop,Chile Relleno,,,,,,6.6,5.0,5.0,4.0,,5.0,5.0,4.0,,5.0,3.0,4.0,x,
99,Rigoberto's Taco Shop,Fish,,,,,,6.0,2.0,5.0,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,,
112,Rigoberto's Taco Shop,Al pastor,,,,,,,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,
159,California Burritos,California Everything,,,,,,6.25,3.0,3.8,1.3,3.5,3.5,4.5,4.5,3.5,4.0,5.0,4.0,x,x
